slope_deg,elevation_m,lithology_idx,rainfall_3d_mm,rainfall_24h_intensity,soil_moisture_pct,displacement_rate,fault_distance_m,target_class
54.19,1886.23,5.00,93.29,11.67,99.92,5.09,174.14,3
53.95,1760.76,5.00,108.13,7.47,94.88,4.71,411.65,3
49.40,1721.76,5.00,138.87,16.36,91.58,2.73,118.03,3
55.33,1836.84,5.00,121.18,15.29,93.28,7.31,324.96,3
52.15,1846.98,5.00,44.86,10.41,89.65,1.46,77.35,2
52.53,1871.83,5.00,64.62,14.64,83.36,4.20,227.65,3
48.04,1854.73,5.00,123.84,8.89,93.57,26.51,155.26,3
53.01,1788.97,5.00,137.91,10.94,87.11,0.31,177.31,3
51.28,1690.41,5.00,103.68,6.65,85.25,0.82,207.27,2
46.04,1724.46,5.00,92.78,14.46,82.11,0.63,135.82,2
49.31,1624.47,5.00,96.70,11.84,91.77,0.72,166.39,2
55.08,1734.37,5.00,60.15,10.85,96.31,0.66,292.33,2
52.64,2103.16,5.00,116.85,8.29,87.63,0.39,50.00,2
45.40,1732.74,5.00,78.45,4.33,91.45,4.95,496.17,2
53.69,1824.25,5.00,117.94,5.52,86.53,0.98,376.77,2
57.96,1771.03,5.00,24.98,6.89,85.65,8.84,405.37,3
46.04,1669.06,5.00,147.17,10.48,86.74,13.61,205.02,3
52.92,1629.39,5.00,99.32,19.35,80.80,3.62,349.11,3
57.17,1639.87,5.00,113.52,8.01,84.67,1.11,124.41,3
53.55,1728.35,5.00,117.61,10.73,88.60,0.69,316.76,2
56.26,1718.42,5.00,90.15,10.61,95.28,7.15,279.12,3
53.82,1662.66,5.00,91.04,9.27,86.04,1.37,330.84,2
53.87,1927.48,5.00,92.17,12.68,75.68,0.44,162.31,2
54.90,1776.72,5.00,91.70,9.10,87.78,2.83,383.50,2
49.88,1834.92,5.00,39.41,9.80,85.04,7.91,458.25,2
49.90,1646.80,5.00,168.35,11.96,88.33,3.13,383.01,3
44.71,1986.96,5.00,100.91,12.16,87.93,1.22,186.36,2
52.87,1672.78,5.00,87.74,9.66,95.53,2.24,176.93,2
50.13,1823.01,5.00,89.83,13.57,92.31,11.91,527.29,3
49.76,1760.05,5.00,146.45,11.71,83.98,0.14,69.30,3
52.32,1810.27,5.00,105.19,11.94,97.67,1.72,397.82,3
53.16,1844.01,5.00,84.03,8.36,94.15,4.39,405.76,3
49.89,1752.45,5.00,67.11,10.12,94.18,12.33,180.03,3
50.36,1641.44,5.00,80.71,12.20,87.87,3.13,322.73,2
51.35,1584.34,5.00,138.25,13.63,91.00,10.56,478.15,3
53.98,1863.88,5.00,123.99,7.95,77.96,9.72,50.00,3
55.97,1647.24,5.00,87.49,9.47,85.03,2.53,91.52,3
52.80,1985.52,5.00,106.53,5.75,92.88,2.56,50.00,2
55.19,1792.69,5.00,139.69,8.76,91.46,7.74,279.97,3
58.68,1877.19,5.00,102.68,13.88,91.00,0.50,325.96,3
48.04,2069.40,5.00,146.01,13.11,88.63,3.42,218.17,3
45.89,1849.87,5.00,106.45,12.65,85.62,0.24,228.09,2
50.55,2006.52,5.00,122.01,7.29,91.12,2.00,50.00,2
53.50,1832.01,5.00,53.99,10.31,95.12,1.79,172.21,2
46.68,1440.14,5.00,96.82,12.96,95.40,7.81,180.53,3
49.23,1511.64,5.00,118.37,10.74,90.22,0.15,543.58,2
43.29,1701.01,5.00,119.44,8.35,88.55,5.64,317.03,3
51.53,1695.21,5.00,114.77,8.58,89.28,0.36,323.11,2
54.50,1534.01,5.00,137.08,10.29,90.75,2.10,429.59,3
50.37,1745.34,5.00,81.37,5.94,95.14,0.33,442.99,2
47.79,1732.52,5.00,116.04,10.30,87.64,0.83,170.60,2
52.54,1902.18,5.00,108.46,6.57,90.32,12.25,211.61,3
52.79,1863.13,5.00,76.37,16.41,89.41,5.09,494.78,3
57.69,1719.69,5.00,100.64,12.12,89.11,8.38,438.22,3
29.62,515.94,4.00,192.95,28.83,89.56,3.25,902.85,3
38.86,438.25,4.00,191.96,27.64,98.95,1.91,616.18,3
40.15,720.03,4.00,194.36,29.64,85.66,20.88,848.33,3
36.76,609.63,4.00,229.66,31.16,92.56,1.13,547.22,3
38.08,425.62,4.00,168.56,27.05,88.09,6.37,538.58,3
33.56,623.03,4.00,169.28,28.93,87.66,9.13,643.91,3
36.01,738.76,4.00,149.87,31.85,90.34,0.05,658.28,2
34.13,770.55,4.00,200.02,26.39,91.97,3.54,708.84,3
39.83,527.46,4.00,209.44,27.10,94.98,0.23,400.92,3
40.74,617.72,4.00,182.83,29.87,93.71,11.99,637.69,3
36.11,542.40,4.00,218.65,26.79,72.46,1.83,663.78,3
38.86,365.57,4.00,203.90,24.34,93.55,0.75,827.15,3
34.89,566.65,4.00,168.74,22.64,87.56,0.16,743.71,2
41.99,546.86,4.00,210.73,24.49,93.04,10.17,671.16,3
32.99,559.71,4.00,160.93,26.40,95.75,5.03,797.34,3
35.19,791.88,4.00,209.64,25.81,98.31,1.42,548.75,3
39.63,869.55,4.00,187.36,30.04,100.00,2.38,627.35,3
30.07,555.86,4.00,226.22,28.53,95.47,3.66,801.42,3
33.17,568.76,4.00,178.28,30.39,95.30,1.76,787.68,3
39.66,852.61,4.00,238.18,30.65,79.58,1.45,994.15,3
33.93,736.58,4.00,171.35,30.17,98.12,1.11,824.28,3
40.26,689.05,4.00,190.45,21.56,88.65,2.82,800.02,3
32.75,879.37,4.00,165.59,28.47,95.94,15.12,531.76,3
42.18,884.14,4.00,178.27,27.90,91.08,1.88,600.33,3
35.90,742.63,4.00,208.63,25.70,91.27,5.39,441.31,3
36.89,668.29,4.00,227.16,31.38,89.21,0.01,757.89,3
33.42,564.53,4.00,227.27,32.21,88.47,5.87,726.90,3
40.58,500.53,4.00,148.35,30.03,85.34,2.31,763.07,3
39.58,736.54,4.00,174.69,31.97,96.92,14.23,740.14,3
38.63,981.92,4.00,200.08,25.37,98.41,2.21,481.68,3
35.34,624.60,4.00,181.91,27.04,98.41,9.31,346.83,3
34.53,771.76,4.00,177.16,23.00,97.14,1.70,891.28,3
37.68,537.45,4.00,203.02,24.82,96.50,6.30,879.21,3
36.50,780.00,4.00,216.23,32.22,87.14,4.32,459.28,3
35.23,699.97,4.00,196.25,24.95,96.63,0.40,1068.01,3
40.63,923.41,4.00,214.03,24.09,100.00,1.31,717.08,3
39.70,464.51,4.00,237.35,29.62,98.30,2.82,518.68,3
38.60,539.57,4.00,146.96,30.33,87.65,6.55,696.67,3
32.91,797.60,4.00,173.48,32.79,88.19,2.39,958.59,3
37.26,532.54,4.00,195.40,28.91,88.81,3.17,645.85,3
38.10,532.43,4.00,168.77,22.84,79.14,4.85,516.68,3
43.47,556.48,4.00,201.91,29.43,100.00,3.92,638.66,3
30.61,527.12,4.00,190.60,25.01,92.94,1.05,610.76,2
36.78,568.27,4.00,222.50,28.66,78.82,7.31,857.96,3
33.64,659.38,4.00,219.14,28.32,80.44,0.70,599.58,3
35.72,512.08,4.00,178.69,28.42,97.11,0.38,767.57,3
44.45,601.47,4.00,209.89,29.61,91.07,0.60,705.17,3
38.46,552.38,4.00,195.07,26.42,100.00,12.37,799.76,3
35.72,895.62,4.00,180.73,26.69,100.00,2.16,595.19,3
36.96,579.25,4.00,191.74,30.32,88.14,0.22,502.59,3
37.99,700.18,4.00,153.20,31.09,91.42,7.87,927.68,3
40.84,718.84,4.00,159.56,33.14,90.21,4.18,806.52,3
38.51,496.84,4.00,165.39,28.78,90.77,6.49,627.88,3
31.09,665.87,4.00,182.79,28.60,82.60,0.92,688.47,2
34.83,499.38,4.00,194.41,26.22,72.32,2.17,1027.95,3
35.81,672.69,4.00,179.41,27.93,90.66,3.76,609.82,3
37.05,772.82,4.00,201.98,23.89,87.43,13.13,739.79,3
34.79,748.52,4.00,156.66,28.26,91.81,0.69,739.65,2
39.92,397.32,4.00,226.44,32.06,88.09,2.42,329.53,3
36.89,710.89,4.00,174.70,31.30,81.54,0.46,635.08,3
38.24,585.76,4.00,210.39,33.71,94.79,0.34,712.79,3
33.36,492.54,4.00,210.17,26.86,86.92,2.29,809.35,3
37.63,642.68,4.00,210.11,26.30,97.22,2.45,588.48,3
40.70,683.95,4.00,206.09,28.75,90.86,0.68,665.06,3
40.98,383.98,4.00,210.17,20.42,84.11,0.64,964.37,3
41.29,509.75,4.00,131.92,26.34,96.76,3.86,460.12,3
36.14,501.31,4.00,250.00,32.68,93.97,0.11,598.14,3
40.72,575.11,4.00,157.07,29.20,93.59,7.16,986.80,3
38.90,825.98,4.00,169.81,27.79,86.71,4.12,484.82,3
30.03,664.35,4.00,197.56,27.22,95.86,0.11,583.77,3
38.74,664.77,4.00,194.77,24.00,91.30,3.60,606.49,3
38.53,348.70,4.00,196.65,28.05,95.52,4.09,747.72,3
35.46,807.44,4.00,205.62,28.48,82.28,1.41,763.04,3
34.30,560.09,4.00,210.66,22.40,80.56,4.30,999.41,3
36.75,494.78,4.00,180.21,25.15,97.34,0.06,660.57,3
32.68,951.91,4.00,14.82,7.70,100.00,2.27,1013.11,1
24.59,930.86,4.00,25.90,4.02,95.06,0.30,792.13,1
28.00,948.07,4.00,5.00,6.98,100.00,0.75,1017.87,1
23.28,760.17,4.00,18.35,5.03,98.93,3.05,959.37,1
30.66,936.53,4.00,15.12,5.95,100.00,2.61,776.78,1
23.19,852.18,4.00,5.00,4.84,100.00,2.73,757.82,1
26.25,639.83,4.00,5.00,2.79,100.00,0.92,911.36,1
29.48,842.02,4.00,9.02,5.81,99.26,0.83,968.67,1
27.92,722.56,4.00,10.20,3.34,100.00,4.17,811.96,1
30.74,758.26,4.00,27.70,6.35,100.00,5.80,776.15,2
24.03,957.57,4.00,73.02,4.73,93.72,0.75,904.37,1
29.31,847.49,4.00,47.32,0.93,100.00,5.83,988.56,2
30.86,758.85,4.00,27.55,2.53,100.00,0.58,1072.68,1
27.77,818.74,4.00,19.33,4.25,100.00,0.97,887.44,1
29.19,769.90,4.00,5.00,5.33,100.00,1.85,1170.98,1
32.46,791.79,4.00,30.83,7.22,100.00,0.90,1058.61,1
29.26,882.99,4.00,11.98,1.92,100.00,2.00,928.09,1
24.79,709.57,4.00,13.99,5.62,96.85,0.30,1102.83,1
28.08,778.30,4.00,15.98,5.36,91.79,1.47,712.01,1
31.54,791.02,4.00,98.58,11.62,98.91,2.18,884.05,2
22.56,1019.50,4.00,52.48,3.55,100.00,2.09,827.28,1
23.80,532.06,4.00,38.95,2.22,87.89,1.81,921.76,1
27.99,812.53,4.00,11.79,6.56,91.55,0.00,838.70,1
25.50,872.55,4.00,25.54,5.20,94.03,1.44,872.77,1
23.68,631.24,4.00,53.89,7.12,99.36,3.24,831.93,1
25.58,573.73,4.00,20.09,10.83,100.00,1.32,896.66,1
28.87,614.93,4.00,24.71,3.01,91.47,3.42,822.43,1
31.51,750.29,4.00,5.00,2.42,89.37,1.08,970.73,1
31.22,773.84,4.00,17.10,7.45,95.67,6.13,853.20,2
27.47,770.80,4.00,5.00,1.18,100.00,0.26,817.42,1
24.88,848.36,4.00,29.63,3.30,95.17,6.22,912.76,2
30.05,760.51,4.00,23.93,3.98,100.00,2.93,851.16,1
25.76,703.09,4.00,5.00,0.50,100.00,0.35,565.01,1
24.88,871.63,4.00,18.37,0.50,100.00,2.07,1021.62,1
28.57,666.53,4.00,11.98,2.47,96.98,0.64,885.81,1
26.66,795.15,4.00,7.56,1.15,97.60,7.95,940.39,2
32.60,742.14,4.00,47.43,0.50,97.72,5.56,850.35,2
32.14,867.71,4.00,12.44,3.12,100.00,0.88,686.55,1
29.04,679.88,4.00,6.42,8.25,98.33,0.54,849.42,1
31.43,645.39,4.00,57.72,7.18,100.00,0.46,830.56,1
32.94,792.59,4.00,9.30,7.10,93.34,0.11,1072.06,1
23.11,880.96,4.00,5.00,4.11,97.29,0.19,781.60,1
24.29,804.54,4.00,29.32,4.06,100.00,1.58,778.93,1
28.49,929.53,4.00,5.00,5.17,93.42,2.85,678.46,1
29.33,793.69,4.00,32.95,9.23,98.56,0.51,649.52,1
29.06,831.06,4.00,5.00,2.03,99.62,1.34,980.44,1
30.44,779.65,4.00,55.33,5.89,96.75,1.14,1060.03,1
26.62,930.20,4.00,52.34,6.83,100.00,1.01,956.95,1
27.56,741.72,4.00,5.00,10.52,95.55,2.01,1093.75,1
30.05,721.59,4.00,5.00,5.36,100.00,1.32,773.26,1
24.91,499.39,4.00,18.99,7.55,93.92,1.18,1027.19,1
27.08,769.63,4.00,41.51,6.09,92.92,2.60,925.84,1
33.32,889.01,4.00,5.00,7.29,96.57,4.55,929.48,2
26.78,717.29,4.00,26.98,8.39,96.42,3.86,541.45,1
30.99,765.67,4.00,19.92,4.27,98.03,1.13,953.90,1
29.80,709.89,4.00,72.10,6.41,96.52,0.08,808.29,1
30.21,584.79,4.00,27.76,7.34,100.00,2.54,887.41,1
28.17,902.26,4.00,5.00,5.79,100.00,1.66,616.55,1
23.97,851.60,4.00,53.95,0.50,100.00,1.79,918.61,1
29.99,684.04,4.00,51.56,9.62,100.00,0.81,731.48,1
23.06,820.82,4.00,5.00,6.22,99.24,2.15,776.10,1
22.09,753.45,4.00,5.00,6.95,87.61,2.67,904.27,1
27.90,744.47,4.00,32.42,4.00,100.00,2.70,859.46,1
24.98,806.26,4.00,17.95,6.12,91.80,1.32,988.89,1
25.34,794.79,4.00,5.00,2.87,100.00,0.13,904.32,1
24.55,833.84,4.00,15.52,2.96,97.11,1.10,1004.43,1
27.79,743.75,4.00,59.61,10.23,92.59,0.23,731.68,1
25.27,778.82,4.00,57.46,7.11,100.00,1.22,687.57,1
33.67,796.43,4.00,5.00,1.24,100.00,1.89,895.44,1
22.34,845.96,4.00,40.81,3.45,100.00,0.21,1322.20,1
32.80,614.05,4.00,23.38,3.08,100.00,0.27,1006.47,1
33.12,863.84,4.00,41.55,3.99,100.00,1.95,941.89,1
26.61,717.90,4.00,36.59,8.08,94.51,2.82,813.61,1
22.62,792.61,4.00,6.35,5.04,97.82,0.32,598.88,1
26.98,766.60,4.00,7.32,9.11,97.82,0.07,907.45,1
49.59,100.00,1.00,63.69,4.64,100.00,0.07,2341.90,1
45.58,170.09,1.00,56.17,3.88,94.53,0.60,2217.19,1
47.08,100.00,1.00,38.90,4.62,91.00,0.18,2283.17,1
49.24,100.00,1.00,68.57,3.84,95.94,0.71,2235.85,1
50.46,100.00,1.00,82.94,3.28,98.54,0.09,2116.50,1
40.95,100.00,1.00,45.19,2.49,100.00,0.27,2550.00,1
42.43,318.74,1.00,36.12,4.41,100.00,0.02,2590.78,1
45.54,114.92,1.00,43.86,0.50,100.00,0.44,2472.52,1
46.33,157.40,1.00,5.00,0.50,100.00,0.60,2385.78,0
42.32,115.86,1.00,5.00,8.36,98.50,0.88,2447.82,1
42.73,130.10,1.00,42.52,5.84,98.39,0.98,2124.55,1
41.67,100.00,1.00,32.38,2.24,99.08,0.13,2626.24,0
43.31,100.00,1.00,37.82,5.87,99.94,0.10,2446.05,1
44.65,237.08,1.00,17.90,7.35,99.41,0.47,2233.81,1
43.54,112.43,1.00,52.09,5.19,100.00,0.32,2036.04,1
48.13,100.00,1.00,34.55,6.60,100.00,1.64,2427.38,1
34.47,188.54,1.00,48.29,1.13,94.09,0.26,2254.54,0
42.22,137.92,1.00,37.07,0.88,89.77,0.19,2411.09,0
44.10,100.00,1.00,62.15,0.50,100.00,0.01,2483.75,1
43.81,100.00,1.00,69.50,7.11,100.00,0.26,2742.07,1
44.98,261.42,1.00,7.86,5.96,100.00,0.36,2462.96,1
49.50,100.00,1.00,32.29,1.01,94.89,0.76,2113.47,1
50.09,110.61,1.00,5.00,7.08,96.46,0.13,2504.80,1
38.99,123.88,1.00,5.00,6.17,100.00,1.00,2470.72,0
45.73,100.00,1.00,48.05,7.51,94.98,0.05,2613.67,1
37.09,100.00,1.00,32.68,6.04,95.50,1.13,2213.06,1
44.79,179.23,1.00,49.47,0.50,93.27,0.67,2539.41,1
39.49,100.00,1.00,39.77,0.50,93.96,0.19,2312.05,0
44.76,163.68,1.00,94.53,0.50,100.00,0.47,2545.97,1
45.92,100.00,1.00,45.83,2.43,95.05,0.92,2502.49,1
39.81,100.00,1.00,72.37,0.50,93.67,0.17,2418.94,1
42.39,100.00,1.00,83.44,2.24,96.49,0.25,2213.95,1
42.79,207.83,1.00,37.28,3.01,100.00,0.75,2138.14,1
45.36,132.68,1.00,77.07,1.26,97.62,0.60,2374.66,1
44.93,107.13,1.00,72.71,1.17,95.42,0.83,2555.45,1
43.37,100.00,1.00,65.50,7.69,100.00,1.23,2640.61,1
46.66,100.00,1.00,5.00,5.91,87.62,0.43,2352.40,1
45.60,234.64,1.00,50.31,11.23,88.20,0.10,2387.57,1
37.87,125.70,1.00,35.97,0.50,100.00,0.06,2507.38,0
47.27,189.81,1.00,31.95,5.25,100.00,0.43,2466.83,1
42.91,371.75,1.00,29.06,4.50,95.97,0.29,2433.49,1
46.39,100.00,1.00,52.29,2.08,97.00,0.06,2465.78,1
36.70,365.05,1.00,49.58,2.07,100.00,0.49,2426.43,0
43.58,100.00,1.00,56.60,3.95,100.00,0.62,2455.47,1
46.14,100.00,1.00,63.19,0.50,94.60,1.33,2255.37,1
47.67,181.36,1.00,75.46,8.36,100.00,2.02,2269.23,1
44.56,221.63,1.00,39.32,3.25,100.00,0.31,2531.43,1
44.63,100.00,1.00,61.62,4.23,91.66,0.37,2556.14,1
43.77,100.00,1.00,76.44,1.14,100.00,0.16,2541.88,1
42.33,100.00,1.00,34.15,4.73,100.00,1.11,2439.69,1
38.77,100.00,1.00,47.87,2.72,96.68,0.27,2504.38,1
46.09,100.00,1.00,36.89,7.94,100.00,0.05,2096.45,1
46.68,299.61,1.00,29.83,2.91,100.00,0.01,2444.49,1
45.34,100.00,1.00,28.74,7.38,100.00,0.16,2143.70,1
49.16,341.92,1.00,63.28,7.89,96.52,0.07,2226.54,1
46.34,100.00,1.00,13.54,5.80,100.00,0.76,2586.49,1
47.96,181.69,1.00,30.67,6.67,91.63,1.58,2558.08,1
45.28,100.00,1.00,55.21,1.95,96.80,0.34,2301.92,1
46.47,100.00,1.00,64.23,4.40,100.00,0.13,2256.36,1
46.65,100.00,1.00,78.87,6.02,96.95,0.26,2121.09,1
41.64,100.00,1.00,5.00,5.64,98.72,1.13,2456.91,1
46.03,100.00,1.00,40.97,5.87,100.00,0.18,2457.05,1
42.94,100.00,1.00,37.75,1.66,97.50,0.07,2451.61,1
41.00,185.00,1.00,75.87,0.62,100.00,0.57,2462.28,1
40.14,211.66,1.00,40.87,2.75,100.00,0.89,2541.78,1
48.82,263.99,1.00,14.93,6.78,98.91,0.76,2420.73,1
44.23,211.95,1.00,16.20,10.24,89.07,0.72,2310.35,1
45.46,106.23,1.00,20.04,6.95,99.24,1.22,2364.34,1
49.88,220.72,1.00,64.02,1.50,99.52,0.49,2354.93,1
45.97,100.00,1.00,59.68,0.75,100.00,0.06,2158.82,1
47.77,100.00,1.00,63.51,0.71,100.00,0.07,2402.12,1
43.23,100.00,1.00,35.08,2.90,97.31,0.05,2574.80,1
40.88,338.47,1.00,28.04,6.89,100.00,1.32,2252.32,1
49.30,118.60,1.00,86.60,3.02,95.38,0.22,2482.10,1
42.85,143.55,1.00,55.84,0.50,99.95,0.85,2423.71,1
43.81,1082.19,5.00,104.36,14.09,100.00,4.47,128.45,3
35.18,1089.56,5.00,72.57,14.87,100.00,1.74,224.17,2
34.61,1122.69,5.00,74.56,16.51,96.62,0.04,412.29,2
39.20,1082.84,5.00,109.85,4.89,99.90,5.70,334.13,2
44.84,1070.62,5.00,97.99,11.68,91.86,1.22,412.19,2
42.84,1171.04,5.00,42.58,11.78,100.00,2.67,475.66,2
33.94,1112.90,5.00,44.58,17.34,99.96,2.99,376.73,2
41.85,1135.43,5.00,75.56,17.57,100.00,3.05,592.45,2
38.44,955.08,5.00,88.25,12.88,100.00,3.43,329.96,2
41.46,1378.59,5.00,73.32,10.58,100.00,2.66,229.66,2
36.58,1202.51,5.00,73.11,9.92,100.00,2.44,410.10,2
36.00,1124.27,5.00,97.51,8.51,100.00,1.27,191.73,2
42.26,1207.83,5.00,107.01,18.09,92.96,19.91,231.70,3
44.15,1036.06,5.00,55.27,15.40,95.22,2.38,207.49,2
34.55,970.32,5.00,73.85,14.21,100.00,4.31,273.72,2
39.44,1063.70,5.00,56.38,9.06,100.00,2.30,436.70,2
38.57,1190.59,5.00,78.89,18.07,100.00,1.01,432.15,2
40.43,1162.84,5.00,83.23,13.29,100.00,4.66,527.64,2
39.13,1087.18,5.00,86.17,14.95,87.80,3.11,666.85,2
39.74,1061.38,5.00,121.02,13.46,92.87,4.70,342.52,3
39.47,1105.78,5.00,54.10,14.47,100.00,0.34,433.46,2
34.22,1204.18,5.00,94.17,14.89,100.00,2.73,412.22,2
37.06,1165.86,5.00,131.17,19.48,99.01,8.64,226.02,3
38.17,1071.17,5.00,67.83,14.28,91.02,7.00,542.14,2
41.31,968.23,5.00,100.73,10.50,100.00,0.61,503.48,2
34.86,1089.67,5.00,106.94,15.79,100.00,7.58,203.78,3
39.08,1208.50,5.00,82.46,15.31,100.00,3.06,300.84,2
35.17,738.80,5.00,88.18,14.27,89.86,3.05,203.23,2
33.73,1170.24,5.00,79.53,17.76,95.60,1.23,303.57,2
38.60,1151.71,5.00,77.45,9.61,100.00,3.61,57.59,2
36.37,874.73,5.00,78.72,14.53,94.84,2.75,228.35,2
36.41,1198.28,5.00,116.88,12.14,100.00,1.03,62.89,2
37.76,1169.78,5.00,72.66,16.00,94.36,10.64,523.63,3
38.45,1097.94,5.00,60.06,13.36,99.62,11.55,386.19,3
33.02,1159.90,5.00,106.36,17.25,97.73,0.54,371.80,2
41.06,1194.37,5.00,33.42,13.68,97.19,2.12,236.19,2
39.87,1312.16,5.00,76.24,10.75,100.00,7.28,438.37,2
31.38,1056.46,5.00,67.15,14.84,84.25,4.41,732.35,2
39.39,1194.01,5.00,65.29,13.57,95.94,8.14,412.33,2
37.33,1020.87,5.00,64.02,9.35,99.54,2.35,97.30,2
37.13,1138.11,5.00,82.32,17.17,100.00,0.84,520.63,2
36.87,998.26,5.00,47.70,14.70,95.91,0.66,495.17,2
40.56,1024.13,5.00,111.35,15.23,100.00,0.76,408.64,2
41.21,1063.10,5.00,61.91,18.23,100.00,0.43,445.40,2
35.45,917.53,5.00,81.07,11.43,98.48,1.94,204.99,2
41.35,1192.45,5.00,71.40,10.35,93.84,7.21,294.01,2
35.84,1192.40,5.00,60.90,12.58,94.62,19.19,395.52,3
37.19,1279.03,5.00,101.88,13.87,92.37,2.14,381.71,2
40.47,1240.20,5.00,103.46,14.50,100.00,6.07,215.15,3
41.06,1289.70,5.00,92.38,11.90,97.31,2.80,385.78,2
37.24,999.13,5.00,79.92,12.66,100.00,4.90,484.20,2
37.39,1185.21,5.00,81.28,17.09,100.00,1.94,139.99,2
46.72,1263.92,5.00,49.72,15.76,100.00,0.98,289.48,2
39.84,1270.38,5.00,100.95,16.31,100.00,9.10,141.61,3
40.68,1111.63,5.00,52.84,12.94,100.00,1.73,330.80,2
36.71,1091.71,5.00,57.71,16.76,98.23,2.99,567.91,2
37.06,1277.05,5.00,29.39,10.54,100.00,7.44,50.00,2
40.36,853.55,5.00,51.25,16.06,100.00,5.79,327.92,2
45.50,1236.50,5.00,83.30,12.39,100.00,2.00,443.99,2
38.60,1188.01,5.00,64.77,13.25,100.00,1.25,816.94,2
36.53,1182.58,5.00,76.89,9.32,94.11,4.66,225.45,2
42.67,1178.53,5.00,62.84,12.98,100.00,0.03,460.03,2
37.06,1122.62,5.00,100.88,13.79,100.00,2.76,424.13,2
39.54,1167.78,5.00,79.75,11.19,98.88,2.74,110.09,2
32.61,1245.68,5.00,81.55,9.61,100.00,1.86,498.30,2
41.56,1184.61,5.00,99.09,20.58,100.00,3.67,246.99,3
35.94,1235.52,5.00,60.15,13.80,100.00,5.32,271.93,2
31.74,1117.36,5.00,109.25,12.84,100.00,1.02,402.67,2
37.86,1208.87,5.00,84.44,7.44,100.00,2.27,291.57,2
37.83,959.07,5.00,99.79,12.79,100.00,20.04,591.14,3
36.57,1113.46,5.00,70.27,8.52,95.37,4.02,483.43,2
39.70,1132.09,5.00,82.23,16.51,100.00,3.62,571.71,2
32.93,1146.58,5.00,83.36,12.13,100.00,2.98,356.17,2
39.30,1034.37,5.00,35.68,11.28,91.65,0.19,605.62,2
34.53,1020.37,5.00,89.03,13.79,100.00,0.26,259.92,2
29.32,1458.17,5.00,94.52,10.11,100.00,2.50,531.72,2
32.11,1546.67,5.00,70.69,5.53,100.00,1.32,370.71,2
31.86,1281.49,5.00,65.45,10.16,100.00,1.85,431.58,2
29.43,1251.20,5.00,60.67,5.79,96.10,0.17,611.56,1
31.04,1448.29,5.00,72.54,8.89,100.00,0.11,646.58,2
33.82,1501.13,5.00,69.82,12.90,100.00,2.60,452.40,2
29.58,1370.92,5.00,54.45,10.21,100.00,1.62,458.88,2
34.79,1308.80,5.00,66.25,11.57,92.67,3.27,582.96,2
28.96,1448.70,5.00,72.23,17.35,98.90,0.81,350.47,2
40.93,1528.03,5.00,46.76,12.81,94.05,1.72,436.95,2
30.55,1330.58,5.00,82.54,14.00,92.19,1.65,242.05,2
33.61,1477.18,5.00,49.11,4.42,100.00,5.69,546.86,2
30.71,1475.66,5.00,45.85,13.79,96.19,0.42,513.81,2
31.20,1622.66,5.00,46.54,4.03,100.00,0.64,613.01,1
30.84,1388.78,5.00,72.54,10.91,100.00,0.91,644.09,2
32.37,1616.58,5.00,86.91,8.78,100.00,2.89,460.88,2
33.02,1389.16,5.00,55.95,5.00,100.00,0.24,522.02,1
30.58,1144.39,5.00,101.82,9.11,100.00,2.36,449.01,2
38.33,1510.74,5.00,42.40,7.83,100.00,2.04,830.23,2
34.37,1417.68,5.00,48.89,9.10,100.00,3.16,473.55,2
35.40,1448.40,5.00,53.80,3.92,100.00,0.19,583.58,1
30.60,1547.89,5.00,55.13,6.57,90.84,0.77,444.48,1
30.56,1361.36,5.00,28.12,14.67,100.00,4.48,403.15,2
29.32,1590.33,5.00,52.34,9.99,97.82,3.30,389.68,2
27.32,1536.90,5.00,101.07,16.36,92.80,4.00,624.84,2
35.90,1318.83,5.00,84.05,2.36,100.00,3.25,358.07,2
37.67,1499.90,5.00,38.38,12.69,96.37,1.69,656.56,2
29.60,1617.12,5.00,59.17,3.00,100.00,4.67,604.34,2
31.27,1412.48,5.00,90.25,10.26,98.46,0.19,682.32,2
26.75,1408.39,5.00,93.15,6.36,100.00,0.19,304.59,2
29.70,1418.76,5.00,31.05,7.94,98.84,0.35,601.04,1
34.29,1461.18,5.00,73.18,5.70,99.57,10.43,689.74,3
30.19,1476.14,5.00,80.69,3.36,96.77,0.00,481.76,1
36.29,1427.99,5.00,43.66,5.67,98.22,0.67,474.87,1
30.78,1542.50,5.00,42.45,9.88,89.79,2.67,435.80,2
32.91,1447.02,5.00,64.84,7.14,100.00,0.76,50.00,2
34.15,1495.05,5.00,72.99,12.09,96.76,1.02,654.24,2
30.78,1215.02,5.00,53.09,7.72,95.86,0.23,526.27,1
31.33,1270.31,5.00,102.88,7.69,97.07,0.81,758.34,2
35.75,1363.84,5.00,66.01,12.93,97.83,5.39,444.29,2
33.51,1538.76,5.00,133.10,1.85,100.00,0.44,436.43,2
34.31,1321.22,5.00,85.97,8.15,100.00,5.01,387.36,2
36.73,1268.50,5.00,35.53,2.07,95.80,0.51,544.25,1
35.82,1272.82,5.00,80.21,7.85,96.23,4.79,549.51,2
25.38,1487.38,5.00,39.11,7.41,100.00,1.40,533.66,1
32.73,1363.22,5.00,91.52,7.38,92.00,0.42,477.44,2
29.33,1555.14,5.00,51.06,10.53,97.71,5.74,223.61,2
28.57,1402.45,5.00,5.00,10.93,98.98,4.53,159.06,2
